GEO;LOC;DA;EJAFUNG1;EJAFUNG2;EJAFUNG3;EJAFUNG4;EJAFUNG5;EJAMED1;EJAMED2;EJAMED3;EJAMED4;EJAMED5
Pará;Total;Privada;40,2;0,0;39,7;7,7;12,4;42,7;0,8;44,5;3,7;8,3
Pará;Urbana;Privada;40,4;0,0;40,6;9,5;9,5;44,4;0,9;44,4;2,9;7,4
Pará;Rural;Privada;39,2;0,0;35,8;0,0;25,0;29,5;0,0;45,7;10,5;14,3
Pará;Total;Pública;37,6;0,4;43,5;2,0;16,5;70,2;0,9;26,0;1,3;1,6
Pará;Urbana;Pública;57,2;0,6;38,0;1,7;2,5;75,5;1,0;21,2;1,1;1,2
Pará;Rural;Pública;20,4;0,2;48,4;2,3;28,7;45,4;0,7;48,3;2,3;3,3
Amapá;Total;Total;49,6;0,8;37,6;3,2;8,8;79,2;1,0;15,6;2,6;1,6
Amapá;Urbana;Total;55,4;1,0;37,5;1,8;4,3;82,9;1,2;12,4;1,9;1,6
Amapá;Rural;Total;35,9;0,2;37,9;6,5;19,5;55,1;0,0;36,1;7,2;1,6
Amapá;Total;Federal;34,0;0,4;47,9;2,1;7,8;100,0;0,0;0,0;0,0;0,0
Amapá;Urbana;Federal;34,0;0,4;47,9;2,1;7,8;100,0;0,0;0,0;0,0;0,0
Amapá;Total;Estadual;60,7;1,1;24,6;4,0;9,6;80,9;1,2;13,0;3,0;1,9
Amapá;Urbana;Estadual;75,7;1,8;16,5;1,5;4,5;85,6;1,4;8,8;2,3;1,9
Amapá;Rural;Estadual;39,2;0,2;36,2;7,6;16,8;55,1;0,0;36,1;7,2;1,6
Amapá;Total;Municipal;40,9;0,4;46,4;2,9;9,4;54,45;0,8;36,0;2,3;2,2
Amapá;Urbana;Municipal;44,9;0,5;47,0;2,8;4,8;54,45;0,8;36,0;2,3;2,2
Amapá;Rural;Municipal;24,8;0,0;43,9;3,1;28,2;54,45;0,8;36,0;2,3;2,2
Amapá;Total;Privada;18,0;0,0;79,4;0,0;2,6;65,1;0,0;34,9;0,0;0,0
Amapá;Urbana;Privada;18,0;0,0;79,4;0,0;2,6;65,1;0,0;34,9;0,0;0,0
Amapá;Rural;Privada;34,0;0,4;47,9;2,1;7,8;54,45;0,8;36,0;2,3;2,2
Amapá;Total;Pública;53,1;0,8;32,9;3,6;9,6;81,2;1,1;12,8;3,0;1,9
Amapá;Urbana;Pública;61,6;1,2;30,5;2,1;4,6;85,9;1,4;8,6;2,2;1,9
Amapá;Rural;Pública;35,9;0,2;37,9;6,5;19,5;55,1;0,0;36,1;7,2;1,6
Tocantins;Total;Total;13,5;0,2;57,4;3,9;25,0;52,5;0,8;36,3;1,9;8,5
Tocantins;Urbana;Total;14,9;0,2;61,0;4,3;19,6;58,5;1,1;37,9;2,0;0,5
Tocantins;Rural;Total;8,8;0,0;44,8;2,6;43,8;27,7;0,0;29,7;1,5;41,1
Tocantins;Total;Federal;34,0;0,4;47,9;2,1;7,8;73,3;20,0;6,7;0,0;0,0
Tocantins;Urbana;Federal;34,0;0,4;47,9;2,1;7,8;73,3;20,0;6,7;0,0;0,0
Tocantins;Rural;Federal;34,0;0,4;47,9;2,1;7,8;54,45;0,8;36,0;2,3;2,2
Tocantins;Total;Estadual;30,5;0,2;52,1;2,6;14,6;51,8;0,1;37,0;1,8;9,3
Tocantins;Urbana;Estadual;38,2;0,4;59,8;1,0;0,6;58,4;0,1;38,9;1,9;0,7
Tocantins;Rural;Estadual;20,1;0,0;41,7;4,9;33,3;27,7;0,0;29,7;1,5;41,1
Tocantins;Total;Municipal;11,2;0,0;61,4;1,7;25,7;25,0;0,0;66,7;8,3;0,0
Tocantins;Urbana;Municipal;15,4;0,0;69,1;2,0;13,5;25,0;0,0;66,7;8,3;0,0
Tocantins;Rural;Municipal;2,7;0,0;46,4;1,0;49,9;54,45;0,8;36,0;2,3;2,2
Tocantins;Total;Privada;10,1;0,3;55,7;6,2;27,7;52,2;2,2;41,0;4,6;0,0
Tocantins;Urbana;Privada;10,0;0,3;56,4;6,3;27,0;52,2;2,2;41,0;4,6;0,0
Tocantins;Rural;Privada;12,5;0,0;43,8;4,9;38,8;54,45;0,8;36,0;2,3;2,2
